Rank,Company,Industry,Revenue,Employees
263,Edward Jones,Securities,$16.3B,55K
264,EMCOR,Engineering & Construction,$16.2B,40.4K
265,Markel,Insurance: Property and Casualty (Stock),$16.2B,22K
266,Land O'Lakes,Food Consumer Products,$16.2B,9K
267,Keurig Dr Pepper,Beverages,$16.2B,29.4K
268,AECOM,Engineering & Construction,$16.1B,51K
269,Omnicom,"Advertising, Marketing",$16.1B,74.9K
270,United Rentals,Specialty Retailers: Other,$16B,27.9K
271,IQVIA,Health Care: Pharmacy and Other Services,$15.9B,88K
272,Ecolab,Chemicals,$15.9B,48K
273,Illinois Tool Works,Industrial Machinery,$15.9B,44K
274,Auto-Owners Insurance,Insurance: Property and Casualty (Mutual),$15.8B,7.3K
275,Pacific Life,"Insurance: Life, Health (Stock)",$15.8B,4.3K
276,Dominion Energy,Utilities: Gas and Electric,$15.8B,14.7K
277,Principal Financial,"Insurance: Life, Health (Stock)",$15.8B,19.7K
278,Kohl's,General Merchandisers,$15.8B,60K
279,PPG Industries,Chemicals,$15.7B,46K
280,Builders FirstSource,"Building Materials, Glass",$15.7B,29K
281,Fluor,Engineering & Construction,$15.6B,26.9K
282,Whirlpool,"Electronics, Electrical Equip.",$15.6B,44K
283,Farmers Insurance Exchange,Insurance: Property and Casualty (Mutual),$15.5B,9.9K
284,Tractor Supply,Specialty Retailers: Other,$15.4B,39K
285,Gap,Specialty Retailers: Apparel,$15.3B,82K
286,EchoStar,Telecommunications,$15.2B,13.7K
287,Sonic Automotive,"Automotive Retailing, Services",$15.2B,10.8K
288,Stanley Black & Decker,Industrial Machinery,$15.2B,48.5K
289,LPL Financial,Securities,$15.2B,9K
290,Kyndryl,Information Technology Services,$15B,80K
291,Kenvue,Household and Personal Products,$15B,22K
292,S&P Global,Financial Data Services,$15B,42.4K
293,Corning,"Electronics, Electrical Equip.",$14.9B,56.3K
294,Dick's Sporting Goods,Specialty Retailers: Other,$14.9B,37.4K
295,DTE Energy,Utilities: Gas and Electric,$14.8B,9.5K
296,W.R. Berkley,Insurance: Property and Casualty (Stock),$14.7B,8.6K
297,Diamondback Energy,"Mining, Crude-Oil Production",$14.6B,2K
298,Mutual of Omaha Insurance,"Insurance: Life, Health (Mutual)",$14.6B,6.5K
299,Nordstrom,General Merchandisers,$14.5B,41K
300,Estée Lauder,Household and Personal Products,$14.4B,53K
301,Expedia,Internet Services and Retailing,$14.4B,16.5K
302,Otis Worldwide,Industrial Machinery,$14.3B,72K
303,FirstEnergy,Utilities: Gas and Electric,$14.3B,12.3K
304,Regeneron Pharmaceuticals,Pharmaceuticals,$14.3B,15.1K
305,Textron,Aerospace & Defense,$14.2B,34K
306,Xcel Energy,Utilities: Gas and Electric,$14.2B,11.4K
307,BorgWarner,Motor Vehicles & Parts,$14.2B,38.3K
308,Alaska Air,Airlines,$14.1B,32.1K
309,Viatris,Pharmaceuticals,$14.1B,32K
310,CSX,Railroads,$14.1B,23.5K
311,LKQ,Wholesalers: Diversified,$14.1B,47K
312,Fidelity National Financial,Insurance: Property and Casualty (Stock),$14.1B,23.5K
313,Raymond James Financial,Securities,$14B,19K
314,Reliance,Metals,$13.9B,16.1K
315,Labcorp,Health Care: Pharmacy and Other Services,$13.8B,65.5K
316,Western & Southern Financial,"Insurance: Life, Health (Mutual)",$13.8B,2.7K
317,MasTec,Engineering & Construction,$13.8B,32K
318,Sempra,Utilities: Gas and Electric,$13.7B,16.8K
319,State Street,Commercial Banks,$13.6B,52.6K
320,United States Steel,Metals,$13.5B,22.1K
321,DaVita,Health Care: Medical Facilities,$13.3B,76K
322,BrightSpring Health Services,Health Care: Pharmacy and Other Services,$13.3B,37K
323,Erie Insurance,Insurance: Property and Casualty (Mutual),$13.2B,6.7K
324,Eversource Energy,Utilities: Gas and Electric,$13.2B,10.7K
325,Unum,"Insurance: Life, Health (Stock)",$13.1B,10.9K
326,Henry Schein,Wholesalers: Health Care,$12.9B,25K
327,GXO Logistics,Transportation and Logistics,$12.9B,128.5K
328,Alcoa,Metals,$12.9B,13.9K
329,DuPont,Chemicals,$12.8B,24K
330,Blackstone,Diversified Financials,$12.8B,4.9K
331,Entergy,Utilities: Gas and Electric,$12.7B,12.3K
332,DXC Technology,Information Technology Services,$12.7B,130K
333,Lumen Technologies,Telecommunications,$12.7B,25K
334,Ball,"Packaging, Containers",$12.7B,16K
335,Ryder System,Transportation and Logistics,$12.7B,50.7K
336,Kellanova,Food Consumer Products,$12.7B,24K
337,ServiceNow,Computer Software,$12.7B,26.3K
338,Community Health Systems,Health Care: Medical Facilities,$12.6B,52.5K
339,DoorDash,Internet Services and Retailing,$12.6B,23.7K
340,Chewy,Internet Services and Retailing,$12.6B,18K
341,Assurant,Insurance: Property and Casualty (Stock),$12.6B,14.2K
342,KLA,Semiconductors and Other Electronic Components,$12.5B,15.1K
343,Darden Restaurants,Food Services,$12.4B,191.1K
344,Las Vegas Sands,"Hotels, Casinos, Resorts",$12.3B,40.1K
345,Wayfair,Internet Services and Retailing,$12.2B,12.1K
346,Norfolk Southern,Railroads,$12.2B,19.6K
347,Equitable,"Insurance: Life, Health (Stock)",$12.2B,10.3K
348,Crown,"Packaging, Containers",$12.1B,23K
349,Hormel Foods,Food Consumer Products,$12.1B,20K
350,AES,Utilities: Gas and Electric,$12.1B,9.1K
351,Arthur J. Gallagher,Diversified Financials,$12.1B,56K
352,Cincinnati Financial,Insurance: Property and Casualty (Stock),$12.1B,5.6K
353,J.B. Hunt Transport Services,"Trucking, Truck Leasing",$12.1B,33.6K
354,Air Products & Chemicals,Chemicals,$12B,22.4K
355,Jacobs Solutions,Diversified Outsourcing Services,$12B,44K
356,Huntington Ingalls Industries,Aerospace & Defense,$12B,44K
357,Hess,"Mining, Crude-Oil Production",$12B,1.8K
358,Ulta Beauty,Specialty Retailers: Other,$12B,39K
359,Airbnb,Internet Services and Retailing,$11.9B,7.3K
360,Mosaic,Chemicals,$11.9B,13.8K
361,Chipotle Mexican Grill,Food Services,$11.8B,130.5K
362,Vertex Pharmaceuticals,Pharmaceuticals,$11.7B,6.1K
363,Public Service Enterprise,Utilities: Gas and Electric,$11.7B,13K
364,Booz Allen Hamilton,Information Technology Services,$11.7B,34.2K
365,Avis Budget,"Automotive Retailing, Services",$11.7B,20.5K
366,Owens Corning,"Building Materials, Glass",$11.7B,25K
367,Graybar Electric,Wholesalers: Diversified,$11.6B,10K
368,Andersons,Food Production,$11.6B,2.3K
369,Williams,Pipelines,$11.6B,5.8K
370,Berry Global,"Packaging, Containers",$11.5B,42K
371,Yum China,Food Services,$11.5B,245.5K
372,Hershey,Food Consumer Products,$11.5B,19.3K
373,Westlake,Chemicals,$11.5B,15.5K
374,Conagra Brands,Food Consumer Products,$11.4B,18.5K
375,Caesars Entertainment,"Hotels, Casinos, Resorts",$11.4B,50K
376,Motorola Solutions,Network and Other Communications Equipment,$11.3B,21K
377,Oscar Health,Health Care: Insurance and Managed Care,$11.3B,2.4K
378,Molson Coors Beverage,Beverages,$11.2B,16.8K
379,Burlington Stores,Specialty Retailers: Apparel,$11.2B,47.3K
380,Expeditors International of Washington,Transportation and Logistics,$11.2B,18.9K
381,International Flavors & Fragrances,Chemicals,$11.1B,22.4K
382,Baxter International,Medical Products and Equipment,$11B,38K
383,Analog Devices,Semiconductors and Other Electronic Components,$11B,24K
384,Hilton,"Hotels, Casinos, Resorts",$11B,181K
385,Toll Brothers,Homebuilders,$11B,4.9K
386,Thrivent Financial for Lutherans,"Insurance: Life, Health (Mutual)",$10.9B,4K
387,Quest Diagnostics,Health Care: Pharmacy and Other Services,$10.8B,50.5K
388,Interpublic,"Advertising, Marketing",$10.8B,53.3K
389,Westinghouse Air Brake Technologies,Industrial Machinery,$10.8B,29.5K
390,Owens & Minor,Wholesalers: Health Care,$10.8B,23.2K
391,Mohawk Industries,"Home Equipment, Furnishings",$10.7B,41.9K
392,Ebay,Internet Services and Retailing,$10.7B,11.5K
393,Delek US,Petroleum Refining,$10.7B,2K
394,NVR,Homebuilders,$10.6B,7K
395,Cintas,Diversified Outsourcing Services,$10.6B,46.5K
396,Ally Financial,Diversified Financials,$10.5B,10.7K
397,Lululemon athletica,Specialty Retailers: Apparel,$10.5B,39K
398,A-Mark Precious Metals,Wholesalers: Diversified,$10.5B,486
399,Fidelity National Information,Financial Data Services,$10.5B,50K
400,American Tower,Real Estate,$10.4B,4.7K
401,FM,Insurance: Property and Casualty (Stock),$10.4B,5.8K
402,Autoliv,Motor Vehicles & Parts,$10.4B,62.3K
403,Oshkosh,Construction and Farm Machinery,$10.3B,18.5K
404,Campbell's,Food Consumer Products,$10.2B,14.4K
405,Western Digital,"Computers, Office Equipment",$10.1B,51K
406,Global Payments,Financial Data Services,$10.1B,27K
407,Biogen,Pharmaceuticals,$10.1B,7.6K
408,AGCO,Construction and Farm Machinery,$10.1B,24K
409,Dana,Motor Vehicles & Parts,$10B,39.6K
410,Welltower,Real Estate,$9.9B,685
411,THOR Industries,Motor Vehicles & Parts,$9.8B,22.3K
412,Seaboard,Food Production,$9.8B,14K
413,Intercontinental Exchange,Securities,$9.8B,12.9K
414,Concentrix,Information Technology Services,$9.7B,450K
415,Celanese,Chemicals,$9.7B,12.2K
416,Vertiv,"Electronics, Electrical Equip.",$9.7B,31K
417,Synchrony Financial,Diversified Financials,$9.7B,20K
418,Constellation Brands,Beverages,$9.6B,9.3K
419,Intuitive Surgical,Medical Products and Equipment,$9.6B,15.6K
420,Palo Alto Networks,Network and Other Communications Equipment,$9.6B,15.3K
421,WEC Energy,Utilities: Gas and Electric,$9.6B,7K
422,VF,Apparel,$9.5B,24K
423,SpartanNash,Wholesalers: Food and Grocery,$9.5B,15K
424,QVC,Internet Services and Retailing,$9.5B,19K
425,Ace Hardware,Wholesalers: Diversified,$9.5B,12.5K
426,Zoetis,Pharmaceuticals,$9.4B,13.8K
427,APA,"Mining, Crude-Oil Production",$9.4B,2.3K
428,Skechers U.S.A.,Apparel,$9.3B,15.1K
429,Icahn Enterprises,Diversified Financials,$9.3B,15K
430,Workday,Computer Software,$9.2B,20.5K
431,CenterPoint Energy,Utilities: Gas and Electric,$9.1B,8.9K
432,JetBlue Airways,Airlines,$9.1B,19.8K
433,Prologis,Real Estate,$9.1B,2.7K
434,M&T Bank,Commercial Banks,$9.1B,22.1K
435,Equinix,Real Estate,$9.1B,13.6K
436,Eastman Chemical,Chemicals,$9B,14K
437,Altice USA,Telecommunications,$9B,10.9K
438,PPL,Utilities: Gas and Electric,$9B,6.7K
439,First Citizens BancShares,Commercial Banks,$8.9B,17.3K
440,Xylem,Industrial Machinery,$8.9B,23K
441,CACI International,Information Technology Services,$8.9B,24K
442,TransDigm,Aerospace & Defense,$8.8B,16.6K
443,PVH,Apparel,$8.8B,22K
444,Ovintiv,"Mining, Crude-Oil Production",$8.8B,1.6K
445,NOV,"Oil and Gas Equipment, Services",$8.8B,34K
446,Avery Dennison,"Packaging, Containers",$8.8B,35K
447,Franklin Resources,Securities,$8.8B,10.2K
448,Packaging Corp. of America,"Packaging, Containers",$8.8B,15.4K
449,J.M. Smucker,Food Consumer Products,$8.8B,9K
450,Old Republic International,Insurance: Property and Casualty (Stock),$8.8B,9.4K
451,Sprouts Farmers Market,Food & Drug Stores,$8.7B,35K
452,ABM Industries,Diversified Outsourcing Services,$8.6B,117K
453,Advance Auto Parts,Specialty Retailers: Other,$8.6B,48K
454,Graphic Packaging,"Packaging, Containers",$8.6B,23K
455,Sirius XM,Entertainment,$8.6B,5.5K
456,Hertz,"Automotive Retailing, Services",$8.5B,26K
457,Jefferies Financial,Diversified Financials,$8.5B,7.8K
458,News Corp.,"Publishing, Printing",$8.5B,23.9K
459,Solventum,Medical Products and Equipment,$8.4B,22K
460,Taylor Morrison Home,Homebuilders,$8.4B,3K
461,Rockwell Automation,"Electronics, Electrical Equip.",$8.3B,27K
462,CMS Energy,Utilities: Gas and Electric,$8.3B,8.3K
463,Insight Enterprises,Information Technology Services,$8.3B,14.3K
